"COD_MUN_IBGE","SIGLA_PARTIDO","DESCRICAO_SEXO","DESCRICAO_GRAU_INSTRUCAO"
"313650","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"313700","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"520330","PTB","FEMININO","SUPERIOR COMPLETO"
"210055","PSDB","FEMININO","SUPERIOR COMPLETO"
"210950","PRB","MASCULINO","ENSINO MÉDIO COMPLETO"
"210235","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"210520","PDT","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"313510","PSDB","MASCULINO","SUPERIOR COMPLETO"
"313862","PR","MASCULINO","SUPERIOR COMPLETO"
"211027","PP","FEMININO","SUPERIOR COMPLETO"
"210955","PC do B","MASCULINO","ENSINO MÉDIO COMPLETO"
"211174","PC do B","MASCULINO","SUPERIOR COMPLETO"
"211110","PDT","FEMININO","SUPERIOR INCOMPLETO"
"521090","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520915","PMDB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"314587","PPS","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"210635","PROS","MASCULINO","ENSINO MÉDIO COMPLETO"
"210409","PDT","MASCULINO","SUPERIOR COMPLETO"
"210210","PMDB","MASCULINO","SUPERIOR COMPLETO"
"210594","PP","MASCULINO","SUPERIOR COMPLETO"
"211010","PDT","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"210203","PC do B","MASCULINO","ENSINO MÉDIO COMPLETO"
"210805","PP","MASCULINO","SUPERIOR COMPLETO"
"314580","PP","MASCULINO","SUPERIOR COMPLETO"
"210800","SD","FEMININO","SUPERIOR COMPLETO"
"211085","PC do B","MASCULINO","ENSINO MÉDIO COMPLETO"
"520815","PP","MASCULINO","SUPERIOR COMPLETO"
"314690","PSDB","MASCULINO","SUPERIOR INCOMPLETO"
"311270","PTB","MASCULINO","ENSINO MÉDIO COMPLETO"
"313270","PR","MASCULINO","SUPERIOR COMPLETO"
"520580","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"210270","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"211065","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"210670","PC do B","MASCULINO","SUPERIOR COMPLETO"
"210510","PMN","MASCULINO","SUPERIOR COMPLETO"
"210160","PC do B","MASCULINO","SUPERIOR COMPLETO"
"210730","PSL","FEMININO","SUPERIOR COMPLETO"
"210462","PP","MASCULINO","SUPERIOR INCOMPLETO"
"210660","PSB","MASCULINO","ENSINO MÉDIO COMPLETO"
"311770","PSD","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"210120","PMDB","MASCULINO","SUPERIOR COMPLETO"
"520235","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"311380","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520840","PTN","MASCULINO","SUPERIOR INCOMPLETO"
"510835","PSB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"510395","PSB","MASCULINO","ENSINO MÉDIO COMPLETO"
"316580","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"510325","PSB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"510320","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"510300","PSDB","FEMININO","SUPERIOR COMPLETO"
"510665","PSDB","MASCULINO","SUPERIOR COMPLETO"
"521525","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"520355","PSB","MASCULINO","SUPERIOR COMPLETO"
"521870","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"521020","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"520670","PDT","MASCULINO","SUPERIOR COMPLETO"
"310360","DEM","MASCULINO","ENSINO MÉDIO COMPLETO"
"521760","PROS","MASCULINO","SUPERIOR COMPLETO"
"510885","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"312705","PMDB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"311220","DEM","MASCULINO","ENSINO MÉDIO COMPLETO"
"311630","PHS","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"510455","PV","MASCULINO","SUPERIOR INCOMPLETO"
"316360","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"310130","PSDB","MASCULINO","SUPERIOR COMPLETO"
"314500","PSB","MASCULINO","SUPERIOR COMPLETO"
"311670","PHS","FEMININO","ENSINO MÉDIO COMPLETO"
"314510","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"510035","PSC","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"510677","PDT","MASCULINO","LÊ E ESCREVE"
"520130","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"520547","PP","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"313790","PPS","MASCULINO","SUPERIOR COMPLETO"
"312440","PR","MASCULINO","SUPERIOR COMPLETO"
"510330","DEM","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"510050","PSDB","FEMININO","SUPERIOR COMPLETO"
"312125","PMN","MASCULINO","SUPERIOR COMPLETO"
"521385","PSD","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"521805","PSDB","MASCULINO","SUPERIOR COMPLETO"
"312570","PDT","MASCULINO","SUPERIOR COMPLETO"
"521080","PSDB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"314915","PHS","MASCULINO","ENSINO MÉDIO COMPLETO"
"520150","PSB","MASCULINO","SUPERIOR COMPLETO"
"521925","PSB","FEMININO","SUPERIOR COMPLETO"
"521410","PSD","MASCULINO","SUPERIOR INCOMPLETO"
"520790","PR","MASCULINO","SUPERIOR COMPLETO"
"510618","DEM","MASCULINO","ENSINO MÉDIO COMPLETO"
"510642","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"510160","PSC","MASCULINO","SUPERIOR COMPLETO"
"314820","PP","MASCULINO","SUPERIOR COMPLETO"
"314310","PSDB","MASCULINO","SUPERIOR COMPLETO"
"510623","PSD","MASCULINO","SUPERIOR COMPLETO"
"510360","PSB","MASCULINO","SUPERIOR COMPLETO"
"510730","PP","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"520455","PDT","MASCULINO","ENSINO MÉDIO COMPLETO"
"521930","PRP","MASCULINO","SUPERIOR COMPLETO"
"313720","PDT","MASCULINO","SUPERIOR COMPLETO"
"520780","PP","MASCULINO","SUPERIOR COMPLETO"
"510335","PSDB","MASCULINO","SUPERIOR COMPLETO"
"510520","PSDB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"317200","PT","MASCULINO","SUPERIOR COMPLETO"
"310230","PTB","MASCULINO","ENSINO MÉDIO COMPLETO"
"510525","PSD","MASCULINO","SUPERIOR COMPLETO"
"510792","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"521220","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"312360","PDT","MASCULINO","SUPERIOR COMPLETO"
"312245","PPS","MASCULINO","ENSINO MÉDIO COMPLETO"
"520017","PTC","MASCULINO","SUPERIOR COMPLETO"
"520180","PSDB","MASCULINO","SUPERIOR COMPLETO"
"522185","PSDB","MASCULINO","SUPERIOR INCOMPLETO"
"510185","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"510558","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"310700","PSDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"510385","SD","MASCULINO","ENSINO MÉDIO COMPLETO"
"317052","PMN","MASCULINO","ENSINO MÉDIO COMPLETO"
"312870","PSDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"311190","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"520725","PMDB","FEMININO","ENSINO MÉDIO COMPLETO"
"317110","PV","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"522170","PMDB","MASCULINO","SUPERIOR COMPLETO"
"520680","PMDB","MASCULINO","SUPERIOR COMPLETO"
"522205","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"510620","PMDB","FEMININO","SUPERIOR COMPLETO"
"510622","PDT","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"510785","SD","FEMININO","SUPERIOR COMPLETO"
"510510","PSB","FEMININO","ENSINO MÉDIO COMPLETO"
"314940","PTB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"313310","PTB","MASCULINO","SUPERIOR COMPLETO"
"510715","PSD","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"510670","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"521900","PSDB","MASCULINO","SUPERIOR COMPLETO"
"313065","PP","MASCULINO","LÊ E ESCREVE"
"313480","PMDB","MASCULINO","SUPERIOR COMPLETO"
"520660","PDT","MASCULINO","ENSINO MÉDIO COMPLETO"
"510390","PR","MASCULINO","ENSINO MÉDIO COMPLETO"
"312675","DEM","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"521230","PR","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"314675","DEM","MASCULINO","SUPERIOR COMPLETO"
"521590","PTB","MASCULINO","SUPERIOR INCOMPLETO"
"520750","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"521950","PSDB","FEMININO","SUPERIOR COMPLETO"
"317047","PTB","MASCULINO","ENSINO MÉDIO COMPLETO"
"310610","DEM","MASCULINO","ENSINO MÉDIO COMPLETO"
"311980","PPS","MASCULINO","SUPERIOR COMPLETO"
"521990","PSDB","MASCULINO","SUPERIOR COMPLETO"
"521940","PSD","FEMININO","SUPERIOR COMPLETO"
"510726","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"311115","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"510267","PSB","MASCULINO","ENSINO MÉDIO COMPLETO"
"510550","PV","MASCULINO","SUPERIOR COMPLETO"
"520995","PDT","MASCULINO","ENSINO MÉDIO COMPLETO"
"520393","PMDB","MASCULINO","SUPERIOR COMPLETO"
"313505","PSD","MASCULINO","SUPERIOR INCOMPLETO"
"521630","PSDB","MASCULINO","SUPERIOR COMPLETO"
"521830","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520980","PMDB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"521270","PP","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"520465","PP","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"521645","PSDB","MASCULINO","SUPERIOR COMPLETO"
"510787","PSC","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"314225","DEM","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"312100","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"510637","PMDB","MASCULINO","SUPERIOR INCOMPLETO"
"520570","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"312340","PPS","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"522045","PSD","MASCULINO","SUPERIOR COMPLETO"
"521960","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"521290","PSDB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"520760","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"520440","PP","MASCULINO","SUPERIOR COMPLETO"
"510650","PR","MASCULINO","ENSINO MÉDIO COMPLETO"
"314330","PPS","MASCULINO","SUPERIOR COMPLETO"
"315880","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"510790","PR","FEMININO","SUPERIOR COMPLETO"
"521480","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"521839","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"310820","PR","MASCULINO","SUPERIOR COMPLETO"
"521860","PTB","MASCULINO","SUPERIOR COMPLETO"
"510340","PMDB","MASCULINO","SUPERIOR COMPLETO"
"510343","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"510490","PSDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"314720","PSDB","MASCULINO","SUPERIOR COMPLETO"
"510757","PP","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"510190","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"510452","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520470","PROS","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"520082","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"521680","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"311530","PSDB","MASCULINO","SUPERIOR COMPLETO"
"313920","PTN","MASCULINO","SUPERIOR COMPLETO"
"520310","PTB","FEMININO","SUPERIOR COMPLETO"
"521530","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520013","PSDB","MASCULINO","SUPERIOR COMPLETO"
"521305","PR","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"520400","PDT","MASCULINO","SUPERIOR COMPLETO"
"510010","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"510268","PP","MASCULINO","SUPERIOR INCOMPLETO"
"510305","PSDB","MASCULINO","SUPERIOR COMPLETO"
"317080","PHS","MASCULINO","ENSINO MÉDIO COMPLETO"
"510025","PMDB","MASCULINO","SUPERIOR COMPLETO"
"510130","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"521205","PHS","MASCULINO","SUPERIOR COMPLETO"
"521280","PROS","MASCULINO","ENSINO MÉDIO COMPLETO"
"316700","PT","MASCULINO","SUPERIOR COMPLETO"
"310500","PT","MASCULINO","SUPERIOR COMPLETO"
"522150","PMDB","MASCULINO","SUPERIOR COMPLETO"
"521730","DEM","MASCULINO","ENSINO MÉDIO COMPLETO"
"510840","DEM","FEMININO","SUPERIOR INCOMPLETO"
"510030","PSB","MASCULINO","SUPERIOR COMPLETO"
"315725","PP","FEMININO","SUPERIOR COMPLETO"
"510735","PTB","MASCULINO","SUPERIOR COMPLETO"
"510629","PSDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"510626","PSDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"510780","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"510704","PMDB","MASCULINO","SUPERIOR COMPLETO"
"510263","PSD","MASCULINO","SUPERIOR COMPLETO"
"510460","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"311880","PR","MASCULINO","SUPERIOR COMPLETO"
"314250","SD","MASCULINO","ENSINO MÉDIO COMPLETO"
"314750","PR","MASCULINO","ENSINO MÉDIO COMPLETO"
"314585","PR","MASCULINO","SUPERIOR COMPLETO"
"521440","PR","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"310830","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520060","PR","MASCULINO","SUPERIOR COMPLETO"
"521935","PSDB","FEMININO","SUPERIOR COMPLETO"
"521945","PSDB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"521487","PROS","MASCULINO","ENSINO MÉDIO COMPLETO"
"313340","PSDB","FEMININO","SUPERIOR COMPLETO"
"312800","PMDB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"315860","DEM","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"312820","PSD","MASCULINO","SUPERIOR COMPLETO"
"312050","PSD","MASCULINO","SUPERIOR COMPLETO"
"314880","PMDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"317115","PROS","MASCULINO","ENSINO MÉDIO COMPLETO"
"312390","PSB","MASCULINO","SUPERIOR COMPLETO"
"311260","PSB","MASCULINO","SUPERIOR COMPLETO"
"316810","PTB","FEMININO","SUPERIOR INCOMPLETO"
"311850","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"314840","PMDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"314540","PSD","MASCULINO","SUPERIOR COMPLETO"
"316680","PV","MASCULINO","ENSINO MÉDIO COMPLETO"
"520545","PROS","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"521210","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"520830","PPS","MASCULINO","SUPERIOR COMPLETO"
"520380","DEM","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"522190","PPS","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"520015","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"520753","DEM","MASCULINO","SUPERIOR COMPLETO"
"521450","PRB","MASCULINO","ENSINO MÉDIO COMPLETO"
"520160","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"521810","PMDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"520970","DEM","MASCULINO","SUPERIOR INCOMPLETO"
"520145","PSB","FEMININO","ENSINO FUNDAMENTAL INCOMPLETO"
"521390","PDT","MASCULINO","ENSINO MÉDIO COMPLETO"
"521200","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"522230","PTB","MASCULINO","ENSINO MÉDIO COMPLETO"
"521060","PSDB","MASCULINO","SUPERIOR COMPLETO"
"310600","DEM","MASCULINO","ENSINO MÉDIO COMPLETO"
"520690","PR","MASCULINO","ENSINO MÉDIO COMPLETO"
"521308","DEM","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"521880","PMDB","MASCULINO","SUPERIOR COMPLETO"
"520260","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"521971","PMDB","FEMININO","ENSINO MÉDIO COMPLETO"
"520810","PSDB","FEMININO","SUPERIOR COMPLETO"
"520500","PSDB","MASCULINO","SUPERIOR COMPLETO"
"521400","PSDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"521486","PP","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"520010","PSD","MASCULINO","SUPERIOR COMPLETO"
"520890","PT","FEMININO","SUPERIOR COMPLETO"
"522155","PMDB","FEMININO","SUPERIOR COMPLETO"
"520800","PMDB","MASCULINO","SUPERIOR COMPLETO"
"522028","PSDB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"521470","PSDB","MASCULINO","SUPERIOR COMPLETO"
"315053","PDT","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"314490","PTB","MASCULINO","SUPERIOR COMPLETO"
"314900","PMDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"312083","PTB","FEMININO","ENSINO MÉDIO COMPLETO"
"311700","PSB","MASCULINO","ENSINO MÉDIO COMPLETO"
"314570","PTB","MASCULINO","SUPERIOR INCOMPLETO"
"312470","PR","MASCULINO","SUPERIOR COMPLETO"
"520505","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"520940","PSDB","MASCULINO","SUPERIOR COMPLETO"
"521170","PMDB","FEMININO","SUPERIOR COMPLETO"
"520360","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"522060","PSDB","MASCULINO","SUPERIOR COMPLETO"
"522010","PDT","MASCULINO","SUPERIOR COMPLETO"
"521600","PR","MASCULINO","SUPERIOR COMPLETO"
"522000","PR","FEMININO","SUPERIOR COMPLETO"
"521350","PR","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"520140","PMDB","MASCULINO","SUPERIOR COMPLETO"
"521800","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"521980","PSDB","MASCULINO","SUPERIOR INCOMPLETO"
"310100","PMDB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"521040","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"520740","PSDB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"520080","PSDB","FEMININO","SUPERIOR COMPLETO"
"521520","PMDB","MASCULINO","SUPERIOR COMPLETO"
"521056","PDT","MASCULINO","ENSINO MÉDIO COMPLETO"
"521150","PTB","MASCULINO","SUPERIOR COMPLETO"
"522140","PSDB","MASCULINO","SUPERIOR COMPLETO"
"310630","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"317140","PT","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"316060","PMDB","MASCULINO","SUPERIOR COMPLETO"
"312120","PMDB","MASCULINO","SUPERIOR COMPLETO"
"313530","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"314630","DEM","MASCULINO","ENSINO MÉDIO COMPLETO"
"315030","PMDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"311930","PMDB","FEMININO","SUPERIOR COMPLETO"
"314505","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"310650","PP","MASCULINO","SUPERIOR COMPLETO"
"314340","PPS","MASCULINO","SUPERIOR COMPLETO"
"311890","PT","MASCULINO","SUPERIOR COMPLETO"
"312810","PC do B","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"312450","DEM","MASCULINO","SUPERIOR COMPLETO"
"521405","PR","MASCULINO","SUPERIOR INCOMPLETO"
"310770","PSB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"520993","PSB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"522015","PMDB","MASCULINO","SUPERIOR COMPLETO"
"520120","PMDB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"521973","PSDB","MASCULINO","SUPERIOR COMPLETO"
"310940","PSD","MASCULINO","SUPERIOR INCOMPLETO"
"315440","PSL","MASCULINO","SUPERIOR COMPLETO"
"310825","PPS","MASCULINO","SUPERIOR COMPLETO"
"316660","PP","MASCULINO","LÊ E ESCREVE"
"314795","PTB","MASCULINO","ENSINO MÉDIO COMPLETO"
"313545","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"311810","SD","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"317130","PSDB","MASCULINO","SUPERIOR INCOMPLETO"
"520860","PMDB","MASCULINO","SUPERIOR COMPLETO"
"521490","PSDB","FEMININO","SUPERIOR COMPLETO"
"522020","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520480","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"520735","PSB","MASCULINO","SUPERIOR COMPLETO"
"316225","PR","MASCULINO","ENSINO MÉDIO COMPLETO"
"521540","DEM","MASCULINO","SUPERIOR COMPLETO"
"520495","PMDB","MASCULINO","SUPERIOR COMPLETO"
"521523","PSDB","FEMININO","SUPERIOR COMPLETO"
"520320","PSDB","MASCULINO","SUPERIOR COMPLETO"
"522180","PR","MASCULINO","SUPERIOR COMPLETO"
"521295","PTN","FEMININO","ENSINO MÉDIO COMPLETO"
"313640","SD","FEMININO","SUPERIOR COMPLETO"
"314995","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"312980","PTC","MASCULINO","ENSINO MÉDIO COMPLETO"
"521640","PRB","MASCULINO","ENSINO MÉDIO COMPLETO"
"311840","PRB","FEMININO","SUPERIOR COMPLETO"
"311010","PP","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"310550","PR","MASCULINO","ENSINO MÉDIO COMPLETO"
"315580","PMDB","MASCULINO","SUPERIOR COMPLETO"
"312250","PSDB","MASCULINO","SUPERIOR COMPLETO"
"314110","PMDB","MASCULINO","SUPERIOR COMPLETO"
"316440","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"315310","PSDB","MASCULINO","SUPERIOR COMPLETO"
"313655","PSDB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"315770","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"521380","PTB","MASCULINO","SUPERIOR COMPLETO"
"522026","PSDB","MASCULINO","SUPERIOR INCOMPLETO"
"520396","PSDB","FEMININO","SUPERIOR COMPLETO"
"521710","PMDB","MASCULINO","SUPERIOR COMPLETO"
"522157","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520280","PR","MASCULINO","SUPERIOR INCOMPLETO"
"522040","PTB","MASCULINO","SUPERIOR COMPLETO"
"521030","PSDB","FEMININO","ENSINO MÉDIO COMPLETO"
"316450","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"316010","PP","FEMININO","ENSINO MÉDIO COMPLETO"
"314950","PMDB","MASCULINO","SUPERIOR COMPLETO"
"311310","PPS","MASCULINO","SUPERIOR COMPLETO"
"310900","PV","MASCULINO","SUPERIOR COMPLETO"
"313770","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"315500","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"311130","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"315890","PDT","FEMININO","SUPERIOR COMPLETO"
"522220","PRTB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"521375","PR","MASCULINO","SUPERIOR COMPLETO"
"520050","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"522160","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520920","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"522200","PP","MASCULINO","SUPERIOR COMPLETO"
"521850","PMDB","MASCULINO","SUPERIOR COMPLETO"
"520390","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"522050","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"522108","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520870","PMDB","MASCULINO","SUPERIOR COMPLETO"
"520490","PR","MASCULINO","SUPERIOR COMPLETO"
"521910","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"520960","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"521340","PSB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"520005","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"520552","PR","MASCULINO","ENSINO MÉDIO COMPLETO"
"522130","PSDB","MASCULINO","SUPERIOR COMPLETO"
"522145","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"521000","PP","MASCULINO","SUPERIOR COMPLETO"
"312160","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"314060","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"310330","PMDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"312738","PC do B","MASCULINO","ENSINO MÉDIO COMPLETO"
"521100","PP","FEMININO","SUPERIOR COMPLETO"
"521310","PMDB","MASCULINO","SUPERIOR COMPLETO"
"521550","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"520020","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"520850","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520880","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520420","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"521260","PP","MASCULINO","SUPERIOR COMPLETO"
"521015","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"521120","PSD","MASCULINO","SUPERIOR COMPLETO"
"522070","PROS","MASCULINO","ENSINO MÉDIO COMPLETO"
"520460","PDT","MASCULINO","SUPERIOR COMPLETO"
"520990","PR","MASCULINO","SUPERIOR INCOMPLETO"
"520540","PSDB","MASCULINO","SUPERIOR COMPLETO"
"521250","PSD","MASCULINO","SUPERIOR COMPLETO"
"520055","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"520520","PDT","FEMININO","SUPERIOR COMPLETO"
"521690","PMDB","MASCULINO","SUPERIOR COMPLETO"
"521377","PTB","FEMININO","ENSINO MÉDIO COMPLETO"
"521970","DEM","MASCULINO","SUPERIOR INCOMPLETO"
"521975","PMDB","MASCULINO","SUPERIOR COMPLETO"
"522100","PMDB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"521890","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520551","PR","MASCULINO","ENSINO MÉDIO COMPLETO"
"521740","PP","FEMININO","ENSINO MÉDIO COMPLETO"
"522119","PSDB","MASCULINO","SUPERIOR COMPLETO"
"520425","PRB","FEMININO","SUPERIOR COMPLETO"
"520410","PSD","MASCULINO","SUPERIOR COMPLETO"
"520085","PTB","FEMININO","SUPERIOR COMPLETO"
